reference,baseline_hyp,finetuned_hyp,llm_repaired,speech_status,gender,duration
Critical equipment needs proper maintenance,Critical equipment needs proper maintenance.,critical equipment needs proper maintenance,critical equipment needs proper maintenance,healthy,male,3.15
pant,Pant.,pant,pant,healthy,female,2.55
see,See you.,see,see,healthy,male,1.2
bread,Brent.,bred,bred,healthy,male,1.99
side,side.,side,side,healthy,male,2.945
fruit,fruit,fruit,fruit,healthy,male,3.6
tread,Tread,tread,tread,healthy,male,1.397
Alimony harms a divorced man's wealth,Alimony harms a divorced man's wealth.,Alimony harms a divorced man's wealth,Alimony harms a divorced man's wealth,healthy,female,4.515
stick,thick.,stick,stick,healthy,female,3.6
meat,meat,meat,meat,healthy,male,2.69
court,Court,court,court,healthy,female,1.92
meat,Meet.,meat,meat,healthy,female,1.84
converge,Converge,converge/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm,converge/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm/alarm,healthy,female,2.4
see,See you.,seem,seem,healthy,male,2.4
Pete,Pete.,peat,peat,healthy,male,1.35
lip,Whip.,lip,lip,healthy,male,3.065
litter,Later.,litter,litter,healthy,male,2.25
beat,Beat.,beat,beat,healthy,male,1.65
bit,That's it.,bit,bit,healthy,female,1.99
heat,Hmm.,heat,heat,healthy,male,2.29
write,Right,write,write,healthy,male,2.85
A quick touchdown resulted,The quick touch down result it.,The quick touch down resulted in,The quick touch down resulted in,healthy,male,3.45
sin,Sin.,sin,sin,healthy,male,1.5
delta,Dota,delta 尤射,delta 尤射,healthy,male,2.82
Although always alone we survive,Although always alone we survive.,Although always alone we survive,Although always alone we survive,healthy,male,4.96
This he added brought about petty jealousies and petty personal grievances,This he added brought about petty jellacies and petty personal grievances.,This he added brought about petty jealousies and petty personal grievances,This he added brought about petty jealousies and petty personal grievances,healthy,female,6.3
fell,Hell.,fell,fell,healthy,male,1.5
dagger,Dagger.,dagger,dagger,healthy,male,3.45
train,train.,train,train,healthy,male,1.68
Upgrade your status to reflect your wealth,Upgrade your status to reflect your wealth.,"Upgrade your status to reflect your wealth,","Upgrade your status to reflect your wealth,",healthy,male,3.45
funnel,Pano.,bunnel,bunnel,healthy,male,2.29
sign,Fine.,sign,sign,healthy,male,1.35
short,Short,short,short,healthy,male,1.677
shoot,Shit!,shoot,shoot,healthy,female,1.86
harm,Harm.,harm,harm,healthy,female,2.205
car,Car.,car,car,healthy,male,3.3
street,Street,street,street,healthy,female,2.2
Aluminum silverware can often be flimsy,Illuminant silverware can often be flimsy.,Aluminum silverware can often be flimsy,Aluminum silverware can often be flimsy,healthy,female,5.4
fed,Thank you.,fid,fid,healthy,male,3.3
lit,Let's go. That's it.,lit,lit,healthy,female,1.65
sheet,Feet,sheet,sheet,healthy,male,2.92
whoop,Whoop!,roop,roop,healthy,female,2.55
lair,Lair,lear,lear,healthy,male,2.85
knitting,and that ain't,knitting,knitting,healthy,female,2.55
tile,Tile.,tile,tile,healthy,female,1.681
beat,Be it.,beat,beat,healthy,female,1.82
low,low,low,low,healthy,male,2.55
Are your grades higher or lower than Nancy's,Are your grades higher or lower the Nancy's?,Are your grades higher or lower the Nancy's,Are your grades higher or lower the Nancy's,healthy,female,3.895
table,table,table,table,healthy,female,1.955
slay,Slate.,slay,slay,healthy,male,3.45
Some hotels are available nearby,Some hotels are available nearby.,Some hotels are available nearby,Some hotels are available nearby,healthy,male,4.95
file,Bye-bye.,file,file,healthy,female,2.55
I've kept it with me ever since,I've kept it with me ever since.,I've kept it with me ever since,I've kept it with me ever since,healthy,female,3.75
sheer,Here.,shear,shear,healthy,female,1.95
Did dad do academic bidding,Did that do academic bidding?,Did dad do academic bidding?,Did dad do academic bidding?,healthy,female,3
big,Thank you.,bake,bake,healthy,male,2.7
coupe,Goop.,coop,coop,healthy,male,3.15
There is a treehouse up above,There is a tree house up above.,There is a treehouse up above,There is a treehouse up above,healthy,female,4.05
six,Six.,six,six,healthy,male,1.787
Night after night they received annoying phone calls,"Night after night, they received annoying phone calls.",Night after night they received annoying phone calls,Night after night they received annoying phone calls,healthy,male,5.4
Except in the winter when the ooze or snow or ice prevents,except in the winter when the ooze or snow or ice prevents.,Except in the winter when the ooze or snow or ice prevents,Except in the winter when the ooze or snow or ice prevents,healthy,male,4.95
vat,And that.,vat,vat,healthy,male,1.82
He took me out one day,He took me out one day.,He took me out one day,He took me out one day,healthy,male,2.7
write,You're right.,write,write,healthy,male,2.93
heat,Eat.,heat,heat,healthy,female,1.65
It also provides for funds to clear slums and help colleges build dormitories,It also provides for funds to clear slums and help colleges build dormitories.,It also provides for funds to clear slums and help colleges build dormitories,It also provides for funds to clear slums and help colleges build dormitories,healthy,male,5.855
yet he still thinks as swiftly as ever,Yet he still thinks as swiftly as ever.,"Get he still thinks as swiftly as ever""","Get he still thinks as swiftly as ever""",healthy,male,4.5
zulu,Zulu.,zulu,zulu,healthy,female,2.25
The quick brown fox jumps over the lazy dog,The quick brown fox jumps over the lazy dog.,The quick brown fox jumps over the lazy dog,The quick brown fox jumps over the lazy dog,healthy,male,5.795
harm,I'm...,harm,harm,healthy,male,1.858
ash,Ash.,ash,ash,healthy,male,2.55
duck,Duck.,duck,duck,healthy,male,2.78
leak,Greek,leak,leak,healthy,male,2.7
cheer,Cheers.,cheer,cheer,healthy,male,1.933
read,Read,reed,reed,healthy,male,1.929
Don't ask me to carry an oily rag like that,Don't ask me to carry an oily rag like that.,Don't ask me to carry an oily rag like that,Don't ask me to carry an oily rag like that,healthy,male,4.2
cash,Tash.,tash,tash,healthy,female,1.5
in,End.,in,in,healthy,male,1.2
six,Thanks.,six,six,healthy,female,1.5
fold,Thank you.,fold,fold,healthy,male,1.2
leak,week.,leak,leak,healthy,male,2.55
Grandfather likes to be modern in his language,grandfather likes to be modern in his language.,Grandfather likes to be modern in his language,Grandfather likes to be modern in his language,healthy,male,4.35
Students watched as he got out,Students watched as he got out.,Students watched as he got out,Students watched as he got out,healthy,male,2.7
all,All,all,all,healthy,female,2.4
We gathered shells on the beach,We gather shells on the beach.,"We gathered shells on the beach,","We gathered shells on the beach,",healthy,male,3.47
duck,Dock.,duck,duck,healthy,male,1.2
Will Robin wear a yellow lily,"Well, Robin, where are yellow and lily?","We'll rob him where are yellow lily,","We'll rob him where are yellow lily,",healthy,female,3.34
ship,SHIT!,ship,ship,healthy,female,3.9
bin,Ben.,binn,binn,healthy,female,2.4
dead,dead,dead,dead,healthy,male,1.54
There was only one decision to be made,There was only one decision to be made.,There was only one decision to be made,There was only one decision to be made,healthy,female,4.35
feed,feed,"feed,","feed,",healthy,female,2.1
I was conscious all the time,I was conscious all the time.,I was conscious all the time,I was conscious all the time,healthy,male,2.725
sip,Sip.,sip,sip,healthy,male,2.395
Did you eat yet,Did you eat yet?,Did you eat yet?,Did you eat yet?,healthy,male,1.65
six,6,six,six,healthy,female,2.85
You wished to know all about my grandfather,You wish to know all about my grandfather.,You wished to know all about my grandfather,You wished to know all about my grandfather,healthy,female,5.7
rain,Rain.,rain,rain,healthy,female,3
fit,Fit,fit,fit,healthy,female,1.705
barn,Bye!,barn__________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,barn__________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________,healthy,female,2.455
explore,Explore.,Explore,Explore,healthy,male,1.5
ship,Ship.,ship,ship,healthy,male,2.764
blend,Blend.,blend,blend,healthy,male,2.63
He took me out one day,He took me out one day.,He took me out one day,He took me out one day,healthy,female,3
court,Court,court,court,healthy,female,2.105
mill,No.,mill,mill,healthy,female,2.215
They carried me off on the stretcher,They carried me off on the stretcher.,They carried me off on the stretcher,They carried me off on the stretcher,healthy,male,3.405
fill,fell,fill,fill,healthy,female,1.835
Two other cases also were under advisement,Two other cases were also under advisement.,Two other cases were also under advisement,Two other cases were also under advisement,healthy,male,5.4
sprinkle,Sprinkle.,sprinkle,sprinkle,healthy,female,3.3
I've kept it with me ever since,I've kept it with me ever since.,I've kept it with me ever since,I've kept it with me ever since,healthy,male,3.45
beta,Beta.,beta,beta,healthy,male,1.75
litter,Later.,litter,litter,healthy,male,1.5
sway,Sway.,sway,sway,healthy,male,1.47
air,Beer.,air,air,healthy,male,3.2
Except in the winter when the ooze or snow or ice prevents,Accepting the winter when the ooze or snow or ice prevent.,Except in the winter when the ooze or snow or ice prevents,Except in the winter when the ooze or snow or ice prevents,healthy,male,5.825
hitting,hitting,hitting,hitting,healthy,male,1.84
floor,You know what?,"floor,","floor,",healthy,male,1.815
sigh,Shai.,sigh,sigh,healthy,male,1.8
steer,Steehr,steer,steer,healthy,female,2.335
four,for.,four,four,healthy,male,1.2
Before Thursday's exam review every formula,"For 4 Thursdays exam, review every formula.",Before Thursday's exam review every formula,Before Thursday's exam review every formula,healthy,male,5.85
All the big baseball players get traded,All the big baseball players get treated.,All the big baseball players get traded,All the big baseball players get traded,healthy,male,5.14
weep,weep,weep,weep,healthy,male,2.116
mill,No.,mell,mell,healthy,male,3.6
seed,feed,seed,seed,healthy,female,2.55
quebec,Quebec.,cabec,cabec,healthy,male,2.7
Students watched as he got out,Students watched as he got out.,Students watched as he got out,Students watched as he got out,healthy,female,3.535
mole,more,mule,mule,healthy,female,1.81
hail,Hail!,hale,hale,healthy,female,2.4
no,No.,kno,kno,healthy,male,3.03
feet,Feet,feet,feet,healthy,female,3.475
ticker,ticker,ticker,ticker,healthy,male,1.95
sink,Thank you.,sink,sink,healthy,female,2.7
two,Two.,to,to,healthy,male,2.94
dress,Dress.,dress,dress,healthy,female,1.865
Do they make any money,Do they make any money?,Do they make any money?,Do they make any money?,healthy,male,3.297
mock,Mark.,mock,mock,healthy,female,1.63
term,Turn.,terrum,terrum,healthy,female,2.025
An official deadline cannot be postponed,An official deadline cannot be postponed.,An official deadline cannot be postponed,An official deadline cannot be postponed,healthy,female,4.155
cash,cash.,cash,cash,healthy,male,1.95
sail,See ya.,sale,sale,healthy,male,1.2
forks,works.,orcs,orcs,healthy,male,1.35
and,and,and,and,healthy,female,2.85
geese,peace,geese,geese,healthy,male,1.35
no,No.,know,know,healthy,female,1.815
We got drenched from the uninterrupted rain,We got drenched from the interpreted rain.,We got drenched from the uninterpreted rain,We got drenched from the uninterpreted rain,healthy,female,3.75
We rode horseback to the farm,We rode the horse back to the farm.,We rode horseback to the farm,We rode horseback to the farm,healthy,male,2.85
fill,fell,fill,fill,healthy,female,1.93
knitting,Nidding,nitting,nitting,healthy,female,2.7
tile,Tile.,tile,tile,healthy,female,2.55
There was only one decision to be made,There was only one decision to be made.,"There was only one decision to be made,","There was only one decision to be made,",healthy,male,3.441
reek,REEK,reak,reak,healthy,male,3.45
tap,Tuck.,tap,tap,healthy,female,2.1
Although always alone we survive,"I'll throw all the ways I love him, be sure by.",Although always alone we survive,Although always alone we survive,healthy,male,3.775
rip,RECK!,ripp,ripp,healthy,female,2.4
Trespassers can be prosecuted and fined,Trespassers can be prosecuted and fined.,Trespassers can be prosecuted and fined,Trespassers can be prosecuted and fined,healthy,male,3.75
tin,10,tinn,tinn,healthy,male,1.2
bitten,Better.,bitten,bitten,healthy,male,1.605
punch,punch.,punch,punch,healthy,male,1.65
shoot,Shoot!,shoot,shoot,healthy,male,1.74
knife,Nye.,knife,knife,healthy,female,1.98
read,Read,read,read,healthy,female,2.4
The results were very disappointing,The results are very disappointing.,The results are very disappointing,The results are very disappointing,healthy,female,4.5
golf,golf.,golf,golf,healthy,male,2.25
best,Best.,best,best,healthy,male,3.06
There was only one decision to be made,There was only one decision to be made.,There was only one decision to be made,There was only one decision to be made,healthy,female,3.955
rock,well,rock,rock,healthy,male,2.07
sin,Send.,sin,sin,healthy,male,1.2
add,Add.,add,add,healthy,male,2.235
left,"Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go,",left,left,healthy,female,2.25
feet,feet,sheet,sheet,healthy,male,1.605
They received all the things they needed,They received all the things they needed.,They received all the things they needed,They received all the things they needed,healthy,male,2.55
grow,Grow,grow,grow,healthy,female,2.4
quart,Quite.,court,court,healthy,female,2.25
torn,Toying.,torn 尘尘,torn 尘尘,healthy,female,2.24
cake,cake,"cake,","cake,",healthy,male,1.57
wack,Wack!,wack,wack,healthy,male,2.55
This he added brought about petty jealousies and petty personal grievances,"This he added, brought about petty jellacies and petty personal grievances.",This he added brought about petty jellacies and petty personal grievances,This he added brought about petty jellacies and petty personal grievances,healthy,male,5.85
dug,Dug.,dug,dug,healthy,male,1.455
cork,I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you enjoyed this video and I hope you,cork,cork,healthy,male,1.5
full,Oh,hole,hole,healthy,male,3
pat,Pat.,pat,pat,healthy,male,1.63
fed,bed.,bed,bed,healthy,male,2.25
Look for pockets of black sand,Look for pockets of black sand.,Look for pockets of black sand,Look for pockets of black sand,healthy,female,2.725
grain,grain,grain,grain,healthy,female,1.98
We gathered shells on the beach,We gathered shows on the beach.,We gathered shells on the beach,We gathered shells on the beach,healthy,male,4.65
knot,Not.,knot,knot,healthy,male,1.35
gas,Yeah.,gas,gas,healthy,female,2.7
Don't do Charlie's dirty dishes,Don't do Charlie's dirty dishes.,Don't do Charlie's dirty dishes,Don't do Charlie's dirty dishes,healthy,male,3.75
forward,forward,forward,forward,healthy,female,1.78
wise,Why?,wise,wise,healthy,female,2.4
There was no confirmation of such massive assaults from independent sources,There was no confirmation of such massive assaults from independent sources.,There was no confirmation of such massive assaults from independent sources,There was no confirmation of such massive assaults from independent sources,healthy,male,7.595
Well he is nearly ninetythree years old,"Well, he is nearly 93 years old.",Well he is nearly ninety-three years old,Well he is nearly ninety-three years old,healthy,female,5.54
tip,Tip.,tip,tip,healthy,male,1.665
ticker,Take care.,ticker,ticker,healthy,male,1.35
bunch,Bunch.,bunch,bunch,healthy,male,2.6
trait,TREAT!,treat,treat,healthy,male,2.55
seat,See.,seed,seed,healthy,male,3.75
delta,Don't talk.,delta,delta,healthy,male,1.5
beat,Beat.,beat,beat,healthy,male,1.5
we're,We are.,we're,we're,healthy,male,1.5
scorch,Squirtch,scorch,scorch,healthy,female,2.29
I had no desire to change my ways,I had no desire to change my ways.,I had no desire to change my ways,I had no desire to change my ways,healthy,male,5.1
hash,Hush!,hash,hash,healthy,female,1.86
lock,Lock.,lock,lock,healthy,male,1.35
boot,But...,boot,boot,healthy,female,3.15
meat,Meet!,meat,meat,healthy,male,1.485
munch,Lunch.,munch,munch,healthy,male,1.5
eyes,Eyes,ide,ide,healthy,female,2.4
tie,Ty.,"tie,","tie,",healthy,male,2.735
rise,Rive.,rise,rise,healthy,female,2.25
five,Bye!,5,5,healthy,male,1.545
seat,Sleep.,seep,seep,healthy,male,2.645
fable,Fable.,fable,fable,healthy,female,1.74
fitting,Pidding.,fitting,fitting,healthy,male,1.2
hatch,H,hatch,hatch,healthy,male,2.85
trouble,Trouble,tubble,tubble,healthy,female,2.94
bad,bad,bad,bad,healthy,male,2.345
air,air.,air,air,healthy,male,1.672
I tried to tell people in the community,I tried to tell people in the community.,I tried to tell people in the community,I tried to tell people in the community,healthy,male,3.3
In fact our whole defensive unit did a good job,"In fact, our whole defensive unit did a good job.",In fact our whole defensive unit did a good job,In fact our whole defensive unit did a good job,healthy,female,5.05
yes,Yes.,yes,yes,healthy,male,3.03
sell,Shell.,sell,sell,healthy,male,1.8
see,Fiiiieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieieie,fee,fee,healthy,female,1.35
The store serves meals every day,The store serves meals every day.,"The store serves meals every day,","The store serves meals every day,",healthy,male,3.85
fate,Feet,feet,feet,healthy,male,2.885
pad,Pied.,pad,pad,healthy,male,2.85
Ned,NED!,nad,nad,healthy,male,1.89
beat,Beat.,beat,beat,healthy,female,1.615
tie,TIE!,tie,tie,healthy,male,1.35
pitting,Pidding.,pitting,pitting,healthy,female,2.16
Are your grades higher or lower than Nancy's,Are your grades higher or lower than Nancy's?,Are your grades higher or lower than Nancy's,Are your grades higher or lower than Nancy's,healthy,male,3.855
Their house is grey and white,Their house is grey and white.,"Their house is grey and white,","Their house is grey and white,",healthy,male,2.55
hand,hand.,hand,hand,healthy,male,2.044
train,Train.,train,train,healthy,female,2.25
litter,Litter.,liter,liter,healthy,male,3.6
fork,Fork.,fork,fork,healthy,female,2.1
we're,We're,we're,we're,healthy,male,1.2
There is definitely some ligament damage in his knee,There is definitely some ligament damage in his knee.,There is definitely some ligament damage in his knee,There is definitely some ligament damage in his knee,healthy,male,4.05
We just didn't look good,We just didn't look good.,We just didn't look good,We just didn't look good,healthy,female,3.15
yes,Yes.,yes,yes,healthy,male,2.92
store,Store,store,store,healthy,female,3.36
urgent,Audient,urgent,urgent,healthy,male,2
I tried to tell people in the community,I tried to tell people in the community.,I tried to tell people in the community,I tried to tell people in the community,healthy,male,3.435
dock,.,doc,doc,healthy,female,1.8
root,good,root,root,healthy,female,1.85
forward,So long.,forgot,forgot,healthy,male,2.135
snort,Snort.,snart,snart,healthy,male,1.615
he slowly takes a short walk in the open air each day,This slowly takes a short walk and the open air each day.,You slowly take their short walk and the open air each day,You slowly take their short walk and the open air each day,healthy,male,6.9
no,No,no,no,healthy,male,1.2
When all else fails use force,when all else feels used force.,"When all else fails use force,","When all else fails use force,",healthy,male,3.975
The pair of shoes was new,The pair of shoes was new.,"The pair of shoes was new,","The pair of shoes was new,",healthy,female,3.965
ape,Eight.,ape,ape,healthy,female,2.1
him,Him.,him,him,healthy,male,1.35
torn,Torn.,torn 射射,torn 射射,healthy,male,3.3
two,Two.,two,two,healthy,female,3.31
Most young rise early every morning,Most young rise early every morning.,Most young rise early every morning,Most young rise early every morning,healthy,female,4.35
cheer,Cheers!,cheer,cheer,healthy,male,1.42
shawl,Shaw.,shall,shall,healthy,female,2.2
Young people participate in athletic activities,Young people participate in athletic activities.,Young people participate in athletic activities,Young people participate in athletic activities,healthy,female,4.525
delta,Galpa.,delta 尤射,delta 尤射,healthy,female,3
pay,Pay.,pay,pay,healthy,male,1.2
Etiquette mandates compliance with existing regulations,Educate mandates compliance with existing regulations.,Educate mandates compliance with existing regulations,Educate mandates compliance with existing regulations,healthy,male,4.395
A quick touchdown resulted,A quick touch down result.,A quick touchdown resultse,A quick touchdown resultse,healthy,male,4.5
much,Much!,much,much,healthy,male,1.505
fat,Fuck.,fat,fat,healthy,male,2.81
knew,New,knew,knew,healthy,male,1.8
hail,Hail.,Hail,Hail,healthy,female,1.65
I'm willing to experiment for the first time,I'm willing to experiment for the first time.,I'm willing to experiment for the first time,I'm willing to experiment for the first time,healthy,male,3.9
alpha,health fun,halfa,halfa,healthy,male,1.645
Challenge each general's intelligence,Challenge each general's intelligence.,Challenge each general's intelligence,Challenge each general's intelligence,healthy,female,3.9
I've kept it with me ever since,I've kept it with me ever since.,I've kept it with me ever since,I've kept it with me ever since,healthy,female,3.38
sip,SEP,sip,sip,healthy,female,2.27
Grandfather likes to be modern in his language,Grandfather likes to be modern in his language.,Grandfather likes to be modern in his language,Grandfather likes to be modern in his language,healthy,female,5.1
sigh,Sorry.,sigh,sigh,healthy,male,1.32
lip,Lift.,lip,lip,healthy,male,2.69
pad,HARD,pad,pad,healthy,male,3.15
down,Down.,down,down,healthy,female,1.95
mold,more,mold,mold,healthy,female,1.965
wives,Wives.,"wives,","wives,",healthy,male,1.5
dark,Dark,dark,dark,healthy,female,2.745
pad,had,pad,pad,healthy,male,1.35
cakes,Cakes.,"cakes,","cakes,",healthy,male,1.62
I called two different painters,I called two different painters.,I called two different painters,I called two different painters,healthy,female,3.901
nice,knife,nice,nice,healthy,female,2.4
ate,eight.,ate,ate,healthy,female,3.15
eat,It.,eat,eat,healthy,female,1.05
fed,Fed.,fed,fed,healthy,male,1.35
mill,Me all,mill,mill,healthy,male,1.8
ate,8,ate,ate,healthy,female,3.3
sticks,Sticks.,sticks,sticks,healthy,female,2.1
quebec,Go back.,cobeck,cobeck,healthy,female,2.55
Look for pockets of black sand,Look for pocket to black sand.,Look for pockets of black sand,Look for pockets of black sand,healthy,male,3.15
aid,8,aid,aid,healthy,male,1.5
geese,Peace.,deaf,deaf,healthy,female,2.7
Have no fear if you come alone,Have no fear if you come alone.,Have no fear if you come alone,Have no fear if you come alone,healthy,male,3
The train approached the depot slowly,The train approached the depost slowly.,"The train approached the depost slowly,","The train approached the depost slowly,",healthy,female,3.75
shoot,Shit!,suit,suit,healthy,female,2.025
pat,Pat.,pat,pat,healthy,male,2.32
Begin by trying to speak up more,Begin by trying to speak up more.,Begin by trying to speak up more,Begin by trying to speak up more,healthy,female,3.258
tail,Tail.,tale,tale,healthy,male,1.101
sheet,Sheet.,sheet,sheet,healthy,female,3.055
seed,That's it.,seed,seed,healthy,female,1.2
five,5,five,five,healthy,male,3
knitting,Nidding.,nitting,nitting,healthy,male,2.955
shop,shock.,shock,shock,healthy,female,2.4
lax,Lacks.,lax,lax,healthy,male,1.2
renter,Renter,renter,renter,healthy,female,1.85
hall,Hall.,hall,hall,healthy,male,1.2
flicker,Look her.,flicker,flicker,healthy,male,1.72
mock,Mark.,muck,muck,healthy,male,1.2
nine,Nine,k9,k9,healthy,female,2.4
harm,arm.,arm,arm,healthy,male,0.75
paid,Pade,pade,pade,healthy,female,1.82
jagged,Check it.,jagged,jagged,healthy,male,1.995
Both figures would go higher in later years,Both figures would go higher in later years.,Both figures would go higher in later years,Both figures would go higher in later years,healthy,male,3.75
red,REN.,read,read,healthy,male,3
So if anybody solicits by phone make sure you mail the dough to the above,"So, if anybody solicits by phone, make sure you mail the dough to the above.",So if anybody solicits by phone make sure you mail the dough to the above,So if anybody solicits by phone make sure you mail the dough to the above,healthy,female,7.235
trait,TREAT!,trade,trade,healthy,female,1.95
rake,Rake.,rake,rake,healthy,male,2.25
Bagpipes and bongos are musical instruments,Bagpipes and vongos are musical instruments.,Bagpipes and vongos are musical instruments,Bagpipes and vongos are musical instruments,healthy,female,4.305
bog,Bugs.,bogg,bogg,healthy,female,1.785
wit,WIT!,wit,wit,healthy,male,1.35
rich,Rich.,rich,rich,healthy,male,1.55
code,code,code,code,healthy,female,1.65
why,Why?,Why?,Why?,healthy,male,1.2
Carl lives in a lively home,Carl lives in a lively home.,"Carrel lives in a lively home,","Carrel lives in a lively home,",healthy,male,4.09
leap,Weep.,leap,leap,healthy,male,3.3
quicker,quicker,quicker,quicker,healthy,female,2.125
docks,Dock.,Docks,Docks,healthy,male,2.435
goat,Goat.,goat,goat,healthy,male,1.8
nice,Nice.,nice,nice,healthy,female,2.21
